Provinsi;Pulau;Tahun;Luas_Hutan;Luas_Non_Hutan;Kehilangan_Tutupan;Emisi_Karbon;
ACEH;Sumatra;2014;3156700;2490600;1000000;572104;
SUMATERA UTARA;Sumatra;2014;1826900;5275100;1000000;572104;
SUMATERA BARAT;Sumatra;2014;1927700;2256200;1000000;572104;
RIAU;Sumatra;2014;2562300;6320600;1000000;572104;
JAMBI;Sumatra;2014;1358200;3474100;1000000;572104;
SUMATERA SELATAN;Sumatra;2014;1523600;7103300;1000000;572104;
BENGKULU;Sumatra;2014;693000;1309900;1000000;572104;
LAMPUNG;Sumatra;2014;364500;3070900;1000000;572104;
KEP. BANGKA BELITUNG;Sumatra;2014;250900;1408800;1000000;572104;
KEP. RIAU;Sumatra;2014;282600;534400;1000000;572104;
DKI JAKARTA;Jawa;2014;300;65100;1000000;572104;
JAWA BARAT;Jawa;2014;643400;3055200;1000000;572104;
JAWA TENGAH;Jawa;2014;776700;2679900;1000000;572104;
DI YOGYAKARTA;Jawa;2014;34500;285000;1000000;572104;
JAWA TIMUR;Jawa;2014;1367900;3469800;1000000;572104;
BANTEN;Jawa;2014;154800;784400;1000000;572104;
BALI;Bali-Nusa Tenggara;2014;102700;464100;1000000;572104;
NUSA TENGGARA BARAT;Bali-Nusa Tenggara;2014;842400;1137700;1000000;572104;
NUSA TENGGARA TIMUR;Bali-Nusa Tenggara;2014;1245200;3477400;1000000;572104;
KALIMANTAN BARAT;Kalimantan;2014;5788700;8784100;1000000;572104;
KALIMANTAN TENGAH;Kalimantan;2014;7866900;7399300;1000000;572104;
KALIMANTAN SELATAN;Kalimantan;2014;940300;2773700;1000000;572104;
KALIMANTAN TIMUR;Kalimantan;2014;13564800;5940000;1000000;572104;
KALIMANTAN UTARA;Kalimantan;2014;10000;10000;1000000;572104;
SULAWESI UTARA;Sulawesi;2014;563800;875700;1000000;572104;
SULAWESI TENGAH;Sulawesi;2014;3806600;2228100;1000000;572104;
SULAWESI SELATAN;Sulawesi;2014;1481300;3017100;1000000;572104;
SULAWESI TENGGARA;Sulawesi;2014;1929400;1682200;1000000;572104;
GORONTALO;Sulawesi;2014;710800;487700;1000000;572104;
SULAWESI BARAT;Sulawesi;2014;838700;841500;1000000;572104;
MALUKU;Papua-Maluku;2014;3030700;1591400;1000000;572104;
MALUKU UTARA;Papua-Maluku;2014;2110100;1020500;1000000;572104;
PAPUA BARAT;Papua-Maluku;2014;8864500;760400;1000000;572104;
PAPUA BARAT DAYA;Papua-Maluku;2014;25155500;5921400;1000000;572104;
PAPUA;Papua-Maluku;2014;10000;10000;1000000;572104;
PAPUA SELATAN;Papua-Maluku;2014;10000;10000;1000000;572104;
PAPUA TENGAH;Papua-Maluku;2014;10000;10000;1000000;572104;
